child,cohort,gender,age,unoccupied,solitary,onlooker,parallel,associative,cooperative,soc_particip,bossy,pos_affect,awkward,predom,prop_unocc,prop_solitary,prop_onlooker,prop_parallel,prop_assoc,prop_coop
78,0,female,4,5,3,4,3,7,8,4,NA,NA,NA,cooperative,0.16666666666666666,0.1,0.13333333333333333,0.1,0.23333333333333334,0.26666666666666666
79,0,male,4,0,0,0,19,11,0,5,NA,NA,NA,parallel,0,0,0,0.6333333333333333,0.36666666666666664,0
80,0,male,4,0,0,0,12,18,0,4,NA,NA,NA,associative,0,0,0,0.4,0.6,0
81,0,male,5,0,1,3,1,1,24,5,NA,NA,NA,cooperative,0,0.03333333333333333,0.1,0.03333333333333333,0.03333333333333333,0.8
82,0,male,5,0,0,18,0,4,8,3,NA,NA,NA,onlooker,0,0,0.6,0,0.13333333333333333,0.26666666666666666
83,0,male,5,2,9,1,4,4,10,4,NA,NA,NA,cooperative,0.06666666666666667,0.3,0.03333333333333333,0.13333333333333333,0.13333333333333333,0.3333333333333333
84,0,male,5,0,0,14,0,11,5,4,NA,NA,NA,onlooker,0,0,0.4666666666666667,0,0.36666666666666664,0.16666666666666666
85,0,female,3,0,8,11,11,0,0,4,NA,NA,NA,NA,0,0.26666666666666666,0.36666666666666664,0.36666666666666664,0,0
86,0,female,3,0,0,17,13,0,0,4,NA,NA,NA,onlooker,0,0,0.5666666666666667,0.43333333333333335,0,0
87,0,male,3,9,0,13,5,0,3,3,NA,NA,NA,onlooker,0.3,0,0.43333333333333335,0.16666666666666666,0,0.1
88,0,male,3,3,1,20,0,0,6,2,NA,NA,NA,onlooker,0.1,0.03333333333333333,0.6666666666666666,0,0,0.2
89,0,female,3,1,9,2,0,0,18,5,NA,NA,NA,cooperative,0.03333333333333333,0.3,0.06666666666666667,0,0,0.6
90,0,female,3,1,0,3,5,0,21,5,NA,NA,NA,cooperative,0.03333333333333333,0,0.1,0.16666666666666666,0,0.7
91,0,male,3,10,0,9,9,2,0,3,NA,NA,NA,unoccupied,0.3333333333333333,0,0.3,0.3,0.06666666666666667,0
92,0,male,3,0,9,6,8,2,5,4,NA,NA,NA,solitary,0,0.3,0.2,0.26666666666666666,0.06666666666666667,0.16666666666666666
93,0,male,3,0,0,3,24,3,0,4,NA,NA,NA,parallel,0,0,0.1,0.8,0.1,0
94,0,male,3,6,8,5,8,3,0,3,NA,NA,NA,NA,0.2,0.26666666666666666,0.16666666666666666,0.26666666666666666,0.1,0
95,0,male,3,0,8,7,9,6,0,4,NA,NA,NA,parallel,0,0.26666666666666666,0.23333333333333334,0.3,0.2,0
96,0,male,3,0,20,3,0,6,0,3,NA,NA,NA,solitary,0,0.6666666666666666,0.1,0,0.2,0
97,0,male,3,2,12,5,4,7,0,3,NA,NA,NA,solitary,0.06666666666666667,0.4,0.16666666666666666,0.13333333333333333,0.23333333333333334,0
98,0,male,3,0,17,0,5,8,0,3,NA,NA,NA,solitary,0,0.5666666666666667,0,0.16666666666666666,0.26666666666666666,0
99,0,female,3,3,14,1,2,10,0,4,NA,NA,NA,solitary,0.1,0.4666666666666667,0.03333333333333333,0.06666666666666667,0.3333333333333333,0
100,0,male,3,10,4,0,5,11,0,4,NA,NA,NA,associative,0.3333333333333333,0.13333333333333333,0,0.16666666666666666,0.36666666666666664,0
101,0,female,3,1,5,4,6,11,3,5,NA,NA,NA,associative,0.03333333333333333,0.16666666666666666,0.13333333333333333,0.2,0.36666666666666664,0.1
102,0,male,3,4,3,3,8,12,0,5,NA,NA,NA,associative,0.13333333333333333,0.1,0.1,0.26666666666666666,0.4,0
103,0,female,3,1,9,1,2,12,5,4,NA,NA,NA,associative,0.03333333333333333,0.3,0.03333333333333333,0.06666666666666667,0.4,0.16666666666666666
104,0,female,3,0,3,0,3,17,7,5,NA,NA,NA,associative,0,0.1,0,0.1,0.5666666666666667,0.23333333333333334
105,0,male,3,0,9,0,2,18,1,5,NA,NA,NA,associative,0,0.3,0,0.06666666666666667,0.6,0.03333333333333333
106,0,male,3,0,6,0,2,20,2,5,NA,NA,NA,associative,0,0.2,0,0.06666666666666667,0.6666666666666666,0.06666666666666667
107,0,male,4,0,23,7,0,0,0,3,NA,NA,NA,solitary,0,0.7666666666666667,0.23333333333333334,0,0,0
108,0,male,4,11,10,9,0,0,0,4,NA,NA,NA,unoccupied,0.36666666666666664,0.3333333333333333,0.3,0,0,0
109,0,male,4,4,12,5,0,0,9,3,NA,NA,NA,solitary,0.13333333333333333,0.4,0.16666666666666666,0,0,0.3
110,0,male,4,3,6,4,0,0,19,5,NA,NA,NA,cooperative,0.1,0.2,0.13333333333333333,0,0,0.6333333333333333
111,0,female,4,4,6,2,3,5,5,5,NA,NA,NA,solitary,0.13333333333333333,0.2,0.06666666666666667,0.1,0.16666666666666666,0.16666666666666666
112,0,female,4,0,0,4,20,6,0,3,NA,NA,NA,parallel,0,0,0.13333333333333333,0.6666666666666666,0.2,0
113,0,male,4,0,5,0,11,6,8,4,NA,NA,NA,parallel,0,0.16666666666666666,0,0.36666666666666664,0.2,0.26666666666666666
114,0,male,4,0,0,0,9,6,15,5,NA,NA,NA,cooperative,0,0,0,0.3,0.2,0.5
115,0,female,4,0,1,0,13,8,8,5,NA,NA,NA,parallel,0,0.03333333333333333,0,0.43333333333333335,0.26666666666666666,0.26666666666666666
116,0,male,4,0,0,5,12,10,3,5,NA,NA,NA,parallel,0,0,0.16666666666666666,0.4,0.3333333333333333,0.1
117,0,female,4,0,0,2,12,16,0,3,NA,NA,NA,associative,0,0,0.06666666666666667,0.4,0.5333333333333333,0
118,0,male,4,0,0,0,10,20,0,5,NA,NA,NA,associative,0,0,0,0.3333333333333333,0.6666666666666666,0
119,0,male,5,0,0,6,0,0,24,5,NA,NA,NA,cooperative,0,0,0.2,0,0,0.8
120,0,female,5,0,8,0,0,4,18,5,NA,NA,NA,cooperative,0,0.26666666666666666,0,0,0.13333333333333333,0.6
121,0,female,5,0,0,3,3,5,19,4,NA,NA,NA,cooperative,0,0,0.1,0.1,0.16666666666666666,0.6333333333333333
122,0,male,5,0,0,0,0,19,11,5,NA,NA,NA,associative,0,0,0,0,0.6333333333333333,0.36666666666666664
123,1,female,3,0,15,10,5,0,0,2,NA,NA,NA,solitary,0,0.5,0.3333333333333333,0.16666666666666666,0,0
124,1,female,3,0,28,2,0,0,0,2,NA,NA,NA,solitary,0,0.9333333333333333,0.06666666666666667,0,0,0
