Cohort,Gender,Age,Unoccupied,Solitary,Onlooker,Parallel,Associative,Cooperative,Predom,socparticip,degpos,bossy,socawk
0,2,4,4,6,2,3,5,5,S,5,#NULL!,#NULL!,#NULL!
0,2,4,0,0,4,20,6,0,P,3,#NULL!,#NULL!,#NULL!
0,1,4,0,5,0,11,6,8,P,4,#NULL!,#NULL!,#NULL!
0,1,4,0,0,0,9,6,15,C,5,#NULL!,#NULL!,#NULL!
0,2,4,0,1,0,13,8,8,P,5,#NULL!,#NULL!,#NULL!
0,1,4,0,0,5,12,10,3,P,5,#NULL!,#NULL!,#NULL!
0,2,4,0,0,2,12,16,0,A,3,#NULL!,#NULL!,#NULL!
0,1,4,0,0,0,10,20,0,A,5,#NULL!,#NULL!,#NULL!
0,1,5,0,0,6,0,0,24,C,5,#NULL!,#NULL!,#NULL!
0,2,5,0,8,0,0,4,18,C,5,#NULL!,#NULL!,#NULL!
0,2,5,0,0,3,3,5,19,C,4,#NULL!,#NULL!,#NULL!
0,1,5,0,0,0,0,19,11,A,5,#NULL!,#NULL!,#NULL!
1,2,3,0,15,10,5,0,0,S,2,#NULL!,#NULL!,#NULL!
1,2,3,0,28,2,0,0,0,S,2,#NULL!,#NULL!,#NULL!
1,1,3,1,19,1,8,1,0,S,3,#NULL!,#NULL!,#NULL!
1,1,3,13,10,4,1,2,0,U,2,#NULL!,#NULL!,#NULL!
1,2,3,2,9,7,5,2,5,S,4,#NULL!,#NULL!,#NULL!
1,1,3,0,10,0,2,2,15,C,5,#NULL!,#NULL!,#NULL!
1,2,3,0,9,4,6,3,0,S,3,#NULL!,#NULL!,#NULL!
1,1,3,0,19,0,2,3,6,S,3,#NULL!,#NULL!,#NULL!
1,2,3,5,8,8,3,4,2,S,4,#NULL!,#NULL!,#NULL!
1,2,3,0,0,0,22,4,4,P,5,#NULL!,#NULL!,#NULL!
1,2,3,0,0,0,16,5,9,P,5,#NULL!,#NULL!,#NULL!
1,2,3,0,2,5,5,7,3,A,5,#NULL!,#NULL!,#NULL!
1,2,3,0,5,2,10,7,4,P,4,#NULL!,#NULL!,#NULL!
1,2,3,0,1,3,17,8,1,P,4,#NULL!,#NULL!,#NULL!
1,2,3,5,6,2,6,8,3,A,5,#NULL!,#NULL!,#NULL!
1,2,3,0,8,4,0,17,0,A,3,#NULL!,#NULL!,#NULL!
1,2,3,0,1,3,2,24,0,A,5,#NULL!,#NULL!,#NULL!
1,2,3,0,1,0,0,27,2,A,5,#NULL!,#NULL!,#NULL!
1,1,4,0,28,2,0,0,0,S,3,#NULL!,#NULL!,#NULL!
1,2,4,7,9,0,14,0,0,P,4,#NULL!,#NULL!,#NULL!
1,2,4,2,6,8,8,2,4,O,5,#NULL!,#NULL!,#NULL!
1,1,4,0,17,1,9,3,0,S,4,#NULL!,#NULL!,#NULL!
1,2,4,0,1,5,10,5,9,P,4,#NULL!,#NULL!,#NULL!
1,1,4,0,0,1,4,12,13,C,5,#NULL!,#NULL!,#NULL!
1,1,4,0,0,0,4,12,14,C,5,#NULL!,#NULL!,#NULL!
1,1,4,0,2,0,4,24,0,A,5,#NULL!,#NULL!,#NULL!
1,1,5,4,2,1,7,1,15,C,3,#NULL!,#NULL!,#NULL!
1,1,5,0,4,6,11,2,7,P,4,#NULL!,#NULL!,#NULL!
2,2,4,4,0,14,4,0,8,O,3,#NULL!,#NULL!,#NULL!
2,2,4,2,0,2,6,19,0,A,3,#NULL!,#NULL!,#NULL!
2,2,3,0,16,0,0,1,13,S,3,#NULL!,#NULL!,#NULL!
2,2,3,1,2,3,0,1,23,C,5,#NULL!,#NULL!,#NULL!
